Origin,Destination,Total
Oklahoma,Tennessee,343
South Dakota,Texas,342
Colorado,Michigan,340
Arkansas,Illinois,339
Rhode Island,Vermont,339
New Hampshire,Kansas,338
New Jersey,Wisconsin,338
Oregon,New Jersey,334
West Virginia,Wisconsin,334
Maine,Tennessee,331
Puerto Rico,Arizona,330
Delaware,Tennessee,330
Arizona,Tennessee,328
Maine,South Carolina,327
Vermont,Virginia,327
Delaware,Ohio,326
Florida,Colorado,324
New Hampshire,Maine,324
Kentucky,Nevada,324
Vermont,Washington,322
Delaware,South Carolina,320
Vermont,Ohio,320
Tennessee,Utah,320
Iowa,North Dakota,320
Hawaii,Minnesota,319
Kentucky,Mississippi,319
Idaho,Arkansas,317
Maryland,Utah,317
North Dakota,Ohio,317
Michigan,New Jersey,316
District of Columbia,North Carolina,316
Utah,West Virginia,314
Rhode Island,Maryland,313
Idaho,Illinois,313
Kentucky,Virginia,312
Pennsylvania,Montana,311
Louisiana,Connecticut,309
Hawaii,New Hampshire,307
Hawaii,Louisiana,307
Maryland,South Dakota,306
Nebraska,New Jersey,306
West Virginia,Arizona,305
Wisconsin,Maryland,304
Virginia,Indiana,302
Oklahoma,Connecticut,301
Hawaii,Idaho,299
Puerto Rico,California,297
Missouri,District of Columbia,296
Rhode Island,District of Columbia,296
Oklahoma,Delaware,295
Louisiana,Minnesota,294
Utah,Maine,293
Alaska,New York,292
South Dakota,Montana,292
Puerto Rico,Nebraska,291
North Dakota,Colorado,291
Delaware,Connecticut,289
District of Columbia,West Virginia,287
Wisconsin,North Dakota,286
Missouri,Nevada,285
Michigan,Nebraska,283
Louisiana,Utah,283
New Mexico,Indiana,282
Puerto Rico,Mississippi,281
Louisiana,Idaho,281
Oklahoma,Oregon,280
Nebraska,Virginia,280
Nebraska,Maine,276
Kansas,Massachusetts,275
New Mexico,Hawaii,275
North Dakota,Illinois,274
Georgia,Rhode Island,273
New York,New Mexico,271
South Carolina,Alaska,270
Tennessee,West Virginia,270
Colorado,Georgia,269
South Carolina,Oregon,267
Massachusetts,Oregon,266
Wyoming,Kentucky,266
Minnesota,Wyoming,265
Idaho,South Carolina,263
Wisconsin,Nebraska,262
Mississippi,Idaho,261
Mississippi,Kansas,260
Idaho,Montana,260
Wyoming,New Mexico,260
New Hampshire,Washington,259
South Carolina,Iowa,257
Tennessee,Wisconsin,256
Missouri,Oregon,255
Oregon,North Dakota,255
South Carolina,Arkansas,255
Wyoming,Wisconsin,253
Idaho,Ohio,253
Idaho,New Jersey,251
Wyoming,Illinois,251
New Jersey,Minnesota,250
New Hampshire,Georgia,250
Arkansas,Georgia,250
Wyoming,Florida,248
New Hampshire,Michigan,248
Tennessee,Rhode Island,248
New Hampshire,Kentucky,247
Indiana,Rhode Island,247
Colorado,District of Columbia,246
Florida,Mississippi,245
Wyoming,Missouri,243
Mississippi,Minnesota,242
Indiana,New Hampshire,242
Delaware,Wyoming,240
Montana,Missouri,240
Oregon,Kentucky,239
Kentucky,Idaho,238
Oregon,Montana,238
Hawaii,Connecticut,235
Tennessee,Oregon,234
Kentucky,District of Columbia,234
Vermont,North Carolina,233
Louisiana,Rhode Island,233
North Dakota,Maryland,230
Hawaii,North Dakota,230
Georgia,West Virginia,229
Hawaii,New Jersey,228
Vermont,Missouri,228
Maine,Washington,228
West Virginia,Oregon,227
West Virginia,California,226
Pennsylvania,Kansas,225
New Jersey,Louisiana,225
Oregon,Connecticut,224
Oregon,Arkansas,223
North Carolina,Oklahoma,223
Hawaii,Kentucky,222
Mississippi,Ohio,221
New York,South Dakota,220
Kansas,Hawaii,218
Colorado,Vermont,218
New Hampshire,West Virginia,217
Minnesota,Kentucky,217
Rhode Island,Oklahoma,216
Nevada,Wyoming,216
Oklahoma,New Hampshire,214
Rhode Island,New Mexico,214
Wyoming,Mississippi,212
Virginia,North Dakota,212
Utah,Rhode Island,211
Nebraska,Arkansas,208
Ohio,Oklahoma,207
Louisiana,Nevada,207
South Dakota,Iowa,206
South Carolina,New Mexico,206
New Jersey,West Virginia,205
North Carolina,South Dakota,203
District of Columbia,Hawaii,203
Maryland,Minnesota,203
Alaska,Vermont,203
North Dakota,New York,202
Illinois,Mississippi,202
Missouri,Arkansas,199
Maryland,Iowa,196
New Jersey,New Mexico,196
Mississippi,Nevada,196
South Dakota,New Hampshire,196
Alaska,Utah,195
Utah,Pennsylvania,195
Tennessee,Ohio,193
Mississippi,South Carolina,193
South Carolina,Nevada,192
Virginia,Rhode Island,190
Tennessee,Idaho,187
North Dakota,Connecticut,187
Arizona,District of Columbia,187
Oregon,Pennsylvania,187
Vermont,District of Columbia,186
Montana,Iowa,186
Oklahoma,West Virginia,186
New Jersey,Arkansas,184
Vermont,New Hampshire,184
Wyoming,Tennessee,184
Montana,Mississippi,184
South Dakota,Florida,183
New Jersey,Iowa,183
Wyoming,Ohio,182
Wisconsin,Idaho,182
Wisconsin,Rhode Island,181
Montana,Ohio,179
Washington,Wyoming,178
Vermont,Texas,177
Indiana,Massachusetts,177
Alaska,South Dakota,177
Michigan,Alaska,176
Arkansas,Rhode Island,175
Minnesota,Arkansas,174
North Dakota,Michigan,173
Illinois,Nevada,172
Maryland,Kansas,172
Vermont,New York,171
Utah,South Dakota,170
South Dakota,Colorado,169
Tennessee,Nebraska,169
Nebraska,South Carolina,168
Tennessee,Nevada,168
Louisiana,Pennsylvania,167
Delaware,North Dakota,167
Tennessee,New Hampshire,167
Mississippi,Rhode Island,166
Michigan,Hawaii,165
Puerto Rico,Missouri,164
Ohio,Wisconsin,163
Maine,Mississippi,162
Idaho,District of Columbia,161
Idaho,Nebraska,161
Tennessee,Hawaii,161
Arkansas,Connecticut,160
Ohio,Louisiana,160
Texas,Virginia,160
Rhode Island,Oregon,159
Oregon,Iowa,158
Maine,Texas,157
Mississippi,District of Columbia,157
Kansas,Indiana,157
Utah,Ohio,156
New Mexico,Arkansas,156
Nebraska,Connecticut,154
Rhode Island,Kentucky,154
South Dakota,Missouri,153
Nevada,Montana,152
Pennsylvania,New Hampshire,152
Massachusetts,Tennessee,152
Puerto Rico,Montana,151
Alaska,New Hampshire,151
Maine,Montana,150
Connecticut,Iowa,150
Louisiana,Vermont,149
North Dakota,Louisiana,149
Massachusetts,Maryland,149
Minnesota,Colorado,148
Vermont,Iowa,147
Alaska,Wyoming,146
Connecticut,Mississippi,145
New York,West Virginia,145
Iowa,Louisiana,145
Maryland,Mississippi,142
Washington,Minnesota,141
Pennsylvania,Idaho,140
District of Columbia,Ohio,139
Minnesota,Idaho,139
Massachusetts,Mississippi,138
Virginia,Missouri,138
North Dakota,Nevada,137
Michigan,Arkansas,136
New Jersey,South Dakota,135
Washington,Missouri,135
Oklahoma,Wisconsin,134
Connecticut,Utah,134
Michigan,South Dakota,132
Puerto Rico,New Mexico,131
New Mexico,Maryland,131
South Dakota,Virginia,130
New Hampshire,Oregon,130
Indiana,Idaho,130
Hawaii,Oklahoma,129
Louisiana,Alaska,128
Arizona,Maine,128
Tennessee,Alaska,127
Delaware,Idaho,126
Oklahoma,North Dakota,126
North Dakota,New Mexico,126
Kansas,Wisconsin,126
Montana,Tennessee,125
Alaska,New Jersey,125
Puerto Rico,Vermont,125
Indiana,Montana,125
Kansas,Ohio,125
Louisiana,Nebraska,124
Ohio,California,124
Nebraska,Massachusetts,123
Rhode Island,Minnesota,123
Nebraska,West Virginia,123
Alaska,West Virginia,121
Oklahoma,Georgia,121
Indiana,Connecticut,121
District of Columbia,Nevada,121
Montana,Louisiana,121
Georgia,South Dakota,121
Idaho,West Virginia,119
Montana,North Carolina,119
District of Columbia,Utah,117
Minnesota,West Virginia,117
Montana,Massachusetts,117
Texas,Kentucky,116
Maine,Michigan,116
Washington,North Dakota,113
Oklahoma,Maryland,112
Arkansas,Nevada,112
Idaho,Oklahoma,111
Delaware,Maine,111
Arkansas,Massachusetts,110
Maryland,Montana,110
Maine,Maryland,109
Alaska,Kentucky,109
Vermont,Maryland,108
South Carolina,Oklahoma,108
Rhode Island,Alaska,107
Arkansas,New Hampshire,107
Iowa,Mississippi,107
New Hampshire,Missouri,107
North Dakota,Kentucky,106
Arkansas,District of Columbia,105
Delaware,Wisconsin,105
Montana,Nebraska,104
West Virginia,Louisiana,104
Puerto Rico,West Virginia,103
Montana,Kentucky,101
Maryland,Michigan,101
